Report Time,Login,Last Authenticated At,Last Activity At,Last Surface Used
2025-10-24T15:15:36Z,ksarantakos,None,None,None
2025-10-24T15:15:36Z,wawjr3d,2025-10-24T13:47:52Z,2025-10-24T13:49:07Z,vscode/1.105.1/copilot-chat/0.32.3
2025-10-24T15:15:36Z,dominicmarion,None,None,None
2025-10-24T15:15:36Z,MiraScarfiotti-nbcuni,2025-10-24T14:43:02Z,2025-10-23T20:49:12Z,copilot-cli
2025-10-24T15:15:36Z,ritesh-shah14,2025-10-22T19:51:17Z,2025-10-22T19:51:31Z,copilot_pr_review
2025-10-24T15:15:36Z,rafistrauss,2025-10-24T14:39:13Z,2025-10-24T14:44:37Z,vscode/1.105.1/copilot-chat/0.32.3
2025-10-24T15:15:36Z,danfalk-nbc,2025-10-24T14:24:57Z,2025-10-24T14:33:02Z,Neovim/0.11.4/copilot.lua/1.387.0
2025-10-24T15:15:36Z,pyrrho314,2025-10-23T00:38:54Z,2025-10-23T01:02:55Z,vscode/1.104.2/copilot/1.301.0
2025-10-24T15:15:36Z,sarahsong808,2025-10-24T14:46:38Z,2025-10-23T20:41:24Z,vscode/1.100.0/copilot-chat/0.27.3
2025-10-24T15:15:36Z,maxrpeterson,2025-10-23T23:29:45Z,2025-10-22T16:40:09Z,vscode/1.105.1/copilot-chat/0.32.1
2025-10-24T15:15:36Z,KunalOjha,2025-10-17T21:06:15Z,2025-10-17T15:57:46Z,copilot_pr_review
2025-10-24T15:15:36Z,ianrose,2025-10-24T14:53:39Z,2025-10-23T19:40:01Z,vscode/1.105.1/copilot-chat/0.32.3
2025-10-24T15:15:36Z,greyes-eng,2025-10-23T23:37:13Z,2025-10-23T23:47:49Z,vscode/1.105.1/copilot-chat/0.32.3
2025-10-24T15:15:36Z,jerfletcher,2025-10-24T06:10:53Z,2025-10-23T23:00:44Z,vscode/1.106.0-insider/copilot-chat/0.33.2025102302
2025-10-24T15:15:36Z,arm22,2025-10-23T20:54:19Z,2025-10-23T20:58:07Z,vscode/1.105.1/copilot-chat/0.32.3
2025-10-24T15:15:36Z,victhevenot,None,None,None
2025-10-24T15:15:36Z,weshayashinbcu,2025-10-09T22:36:13Z,2025-10-09T22:57:46Z,JetBrains-IU/252.23892.409/
2025-10-24T15:15:36Z,benwfreed,2025-09-10T15:56:19Z,2025-09-10T16:01:55Z,vscode/1.103.0/copilot-chat/0.30.0
2025-10-24T15:15:36Z,rthiyagu,2025-10-20T18:55:53Z,2025-09-29T15:09:27Z,vscode/1.104.0/copilot-chat/0.31.3
2025-10-24T15:15:36Z,sbengtson,2025-10-23T20:33:25Z,2025-10-23T20:33:38Z,vscode/1.105.1/copilot-chat/0.31.5
2025-10-24T15:15:36Z,edgarrojas-nbcuni,2025-10-23T16:42:02Z,2025-10-23T16:42:28Z,JetBrains-AI/251.27812.49.2514.14217341/
2025-10-24T15:15:36Z,eugenio-velope,2025-09-02T23:10:39Z,None,None
2025-10-24T15:15:36Z,matt-shade-nbcuni,2025-10-24T14:47:50Z,2025-10-16T19:23:31Z,copilot_pr_review
2025-10-24T15:15:36Z,adamhh-nbc,2025-10-23T21:35:07Z,2025-10-23T21:35:14Z,copilot_pr_review
2025-10-24T15:15:36Z,ndhande,2025-08-03T18:44:26Z,2025-07-28T05:51:17Z,vscode/1.102.2/copilot-chat/0.29.1
2025-10-24T15:15:36Z,saikrishna-nbcuni,2025-10-23T21:07:20Z,2025-10-23T21:25:35Z,vscode/1.105.1/copilot-chat/0.32.1
2025-10-24T15:15:36Z,Castillojl,2025-08-13T14:34:22Z,2025-08-13T14:34:00Z,vscode/1.103.0/copilot-chat/0.30.0
2025-10-24T15:15:36Z,FardAtNBC,2025-10-23T05:27:53Z,2025-10-09T19:11:50Z,vscode/1.104.2/copilot-chat/0.31.5
2025-10-24T15:15:36Z,roshanv123,2025-09-30T17:28:09Z,2025-09-22T14:58:58Z,vscode/1.103.1/copilot-chat/0.30.3
2025-10-24T15:15:36Z,jayacados-nbc,2025-10-23T14:04:24Z,2025-10-23T14:04:37Z,vscode/1.104.3/copilot-chat/0.31.5
2025-10-24T15:15:36Z,pipergillman,2025-10-24T03:16:19Z,2025-10-24T03:19:35Z,vscode/1.103.0/copilot-chat/0.30.3
2025-10-24T15:15:36Z,ashleyhmoyer,2025-10-13T15:56:04Z,2025-10-13T16:03:05Z,vscode/1.104.0/copilot-chat/0.31.0
2025-10-24T15:15:36Z,ToniNichevNBCUNI,2025-10-23T16:59:16Z,2025-10-23T16:59:31Z,vscode/1.105.1/copilot-chat/0.32.3
2025-10-24T15:15:36Z,rtchavez-cnbc,2025-10-24T14:35:25Z,2025-10-24T13:44:40Z,copilot_pr_review
2025-10-24T15:15:36Z,richard-dale-24,2025-10-23T20:52:12Z,2025-10-23T20:58:02Z,JetBrains-AI/251.26094.121.2513.14007798/
2025-10-24T15:15:36Z,kailash2812,2025-10-20T16:08:54Z,2025-10-20T16:10:19Z,JetBrains-AI/251.27812.49.2514.14217341/copilot-intellij/1.5.57-243
2025-10-24T15:15:36Z,sjulliebNBC,2025-10-23T21:44:08Z,2025-10-23T19:15:40Z,vscode/1.104.3/copilot-chat/0.31.5
2025-10-24T15:15:36Z,erenaltaygilcnbc,2025-07-14T15:35:41Z,2025-06-27T20:48:33Z,vscode/1.92.2/copilot-chat/0.18.2
2025-10-24T15:15:36Z,jasonburnell98,2025-10-24T14:52:45Z,2025-10-24T14:27:14Z,vscode/1.105.1/copilot-chat/0.32.3
2025-10-24T15:15:36Z,kendallwhitman1,2025-10-24T13:54:57Z,2025-10-24T13:58:49Z,Neovim/0.12.0-dev-910+g029b7a149f/
2025-10-24T15:15:36Z,cnbcgopi,2025-10-13T18:19:04Z,2025-10-02T01:15:18Z,vscode/1.105.0-insider/copilot-chat/0.32.2025092302
2025-10-24T15:15:36Z,kellyjovan,2025-10-23T16:15:58Z,2025-10-20T22:02:29Z,Neovim/0.11.2/copilot.lua/1.379.0
2025-10-24T15:15:36Z,cnbcbala,2025-10-22T18:23:29Z,2025-10-22T16:07:05Z,JetBrains-IC/252.26830.84/
2025-10-24T15:15:36Z,bhabaniswain,2025-10-24T14:09:58Z,2025-10-24T13:49:50Z,copilot_pr_review
2025-10-24T15:15:36Z,RohanInverse,2025-10-24T00:20:00Z,2025-10-24T00:20:11Z,copilot_pr_review
2025-10-24T15:15:36Z,bijeshkumar,2025-10-24T00:16:43Z,2025-10-20T19:16:33Z,JetBrains-IC/252.23892.409/
2025-10-24T15:15:36Z,shijijohn,2025-10-22T20:22:08Z,2025-10-22T19:54:16Z,copilot_pr_review
2025-10-24T15:15:36Z,Harneet-nbcuni,2025-10-22T13:03:16Z,2025-09-18T22:36:55Z,vscode/1.104.0/copilot-chat/0.31.0
2025-10-24T15:15:36Z,rama-guntupalli,2025-10-23T14:56:10Z,2025-10-23T15:14:19Z,vscode/1.103.0/copilot-chat/0.30.3
2025-10-24T15:15:36Z,krishnakantht1978,2025-10-23T23:17:46Z,2025-10-15T21:06:06Z,JetBrains-IC/252.25557.131/copilot-intellij/1.5.57-243
2025-10-24T15:15:36Z,Neeraj154,2025-10-23T13:06:06Z,2025-10-15T13:24:12Z,JetBrains-IC/252.25557.131/
2025-10-24T15:15:36Z,haroonjameel,2025-09-23T18:22:52Z,2025-09-18T20:02:42Z,vscode/1.103.2/copilot/1.372.0
2025-10-24T15:15:36Z,AnushaNBC,2025-10-14T15:29:09Z,2025-09-29T20:31:53Z,JetBrains-IC/242.24807.4/copilot-intellij/1.5.46-241
2025-10-24T15:15:36Z,vthanuja,2025-10-24T14:44:22Z,2025-09-11T01:23:21Z,vscode/1.102.1/copilot-chat/0.29.1
2025-10-24T15:15:36Z,RidhimaNBCU,2025-10-22T20:36:12Z,2025-10-22T14:52:38Z,copilot_pr_review
2025-10-24T15:15:36Z,gaonkarmedha,2025-10-22T14:09:34Z,2025-10-21T19:24:30Z,JetBrains-IC/251.28774.11/
2025-10-24T15:15:36Z,karthiknbcuni,2025-10-24T14:36:11Z,2025-10-22T15:04:27Z,copilot_pr_review
2025-10-24T15:15:36Z,sirisha-annapureddy,2025-10-22T21:10:16Z,2025-10-22T21:29:37Z,JetBrains-IC/252.26199.169/copilot-intellij/1.5.57-243
2025-10-24T15:15:36Z,kumbraj-nbcu,2025-10-08T19:38:05Z,2025-10-08T19:38:19Z,vscode/1.104.1/copilot-chat/0.31.5
2025-10-24T15:15:36Z,sahusudeepta,2025-10-24T14:47:02Z,2025-10-23T16:47:37Z,copilot_pr_review
2025-10-24T15:15:36Z,PaulThilak2,2025-10-15T16:03:14Z,2025-08-29T15:21:39Z,vscode/1.96.4/copilot/1.270.0
2025-10-24T15:15:36Z,SatyajitKadam23,2025-10-08T19:26:25Z,2025-09-09T19:44:04Z,JetBrains-IC/251.27812.49/copilot-intellij/1.5.53-243
2025-10-24T15:15:36Z,raydelpino29,2025-10-14T15:32:31Z,None,None
2025-10-24T15:15:36Z,kjmcafee,2025-10-23T22:13:06Z,2025-10-23T00:19:45Z,JetBrains-IU/251.25410.129/copilot-intellij/1.5.56-243
2025-10-24T15:15:36Z,arunbasetty,2025-10-23T15:29:17Z,2025-10-23T15:29:29Z,vscode/1.105.0/copilot-chat/0.32.0
2025-10-24T15:15:36Z,joshua-econify,2025-10-24T14:43:31Z,2025-10-21T15:39:05Z,vscode/1.105.1/copilot-chat/0.32.3
2025-10-24T15:15:36Z,arigronningNBCUNI,2025-10-15T13:07:33Z,2025-10-09T19:55:00Z,Xcode/16.4/copilot-xcode/0.43.0
2025-10-24T15:15:36Z,lesleylnbcu,2025-10-22T20:34:02Z,2025-10-22T14:50:53Z,vscode/1.105.0/copilot-chat/0.32.0
2025-10-24T15:15:36Z,shayfrissnbc,2025-10-24T14:09:24Z,2025-10-23T16:45:57Z,copilot_pr_review
2025-10-24T15:15:36Z,msilvanbc,2025-10-24T14:20:24Z,2025-10-24T14:20:58Z,copilot_pr_review
2025-10-24T15:15:36Z,qasimabbas-nbcuni,2025-10-23T18:09:59Z,2025-10-23T18:10:20Z,copilot_pr_review
2025-10-24T15:15:36Z,rarvanites-nbcuni,2025-10-23T19:53:17Z,2025-10-16T18:22:06Z,vscode/1.104.3/copilot-chat/0.31.5
2025-10-24T15:15:36Z,zakharovnbcu,2025-10-23T18:35:48Z,2025-10-23T18:36:09Z,copilot_pr_review
2025-10-24T15:15:36Z,NBCCharlie,2025-10-24T14:12:32Z,2025-10-24T14:04:14Z,Xcode/16.2/copilot-xcode/0.35.0
2025-10-24T15:15:36Z,EthanJMoon1020,None,None,None
2025-10-24T15:15:36Z,sigmonkycnbc,2025-10-14T15:21:08Z,2025-10-13T16:01:40Z,Xcode/16.2/
2025-10-24T15:15:36Z,terrywangnbc,2025-10-24T14:45:45Z,2025-10-22T22:49:02Z,vscode/1.95.2/
2025-10-24T15:15:36Z,geethamuthyam20,2025-10-21T16:45:32Z,2025-10-21T14:25:37Z,JetBrains-IC/252.25557.131/copilot-intellij/1.5.57-243
2025-10-24T15:15:36Z,craigfay,2025-10-24T14:43:05Z,2025-10-24T04:07:21Z,VisualStudio/17.14.17/copilot-vs/17.14.1290.42047
2025-10-24T15:15:36Z,VigneshGopalan-nbcuni,2025-09-09T21:31:15Z,2025-07-09T21:11:32Z,JetBrains-IC/243.26053.27/
2025-10-24T15:15:36Z,VicLeB,2025-10-24T14:36:29Z,2025-10-23T17:34:55Z,vscode/1.96.4/copilot/1.270.0
2025-10-24T15:15:36Z,nicotroia,2025-10-24T07:39:37Z,2025-10-24T07:49:32Z,vscode/1.103.2/copilot/1.372.0
2025-10-24T15:15:36Z,psymuleski,2025-08-29T18:02:20Z,2025-08-29T18:03:29Z,vscode/1.103.2/copilot-chat/0.30.3
2025-10-24T15:15:36Z,darshinioza,None,None,None
2025-10-24T15:15:36Z,alexkondratiuknbc,2025-10-24T14:26:11Z,2025-10-23T21:11:01Z,vscode/1.97.2/copilot/1.277.0
2025-10-24T15:15:36Z,Goutham-Vinith,2025-10-24T14:19:28Z,2025-10-24T14:19:42Z,vscode/1.105.0/copilot-chat/0.32.3
2025-10-24T15:15:36Z,vimal-tavant,2025-10-21T17:09:03Z,2025-10-21T17:07:55Z,vscode/1.105.0/copilot-chat/0.32.1
2025-10-24T15:15:36Z,pradeep-sakthivel-nbcuni,2025-10-23T13:45:31Z,2025-10-21T20:40:10Z,vscode/1.104.3/copilot-chat/0.31.5
2025-10-24T15:15:36Z,nbcu-csiverts,2025-10-20T23:53:49Z,2025-10-20T23:54:19Z,vscode/1.105.1/copilot-chat/0.32.3
2025-10-24T15:15:36Z,Cameronmaxcy14,2025-10-23T22:34:01Z,2025-10-23T22:34:16Z,vscode/1.104.2/copilot-chat/0.31.5
2025-10-24T15:15:36Z,aaron-saul,2025-10-24T14:31:31Z,2025-10-23T13:04:09Z,vscode/1.104.3/
2025-10-24T15:15:36Z,hershil-vora,2025-10-23T18:44:59Z,2025-10-23T16:43:30Z,vscode/1.105.1/copilot-chat/0.32.3
2025-10-24T15:15:36Z,andybp85,2025-10-21T19:33:34Z,2025-10-15T20:10:45Z,JetBrains-WS/252.26199.162/copilot-intellij/1.5.57-243
2025-10-24T15:15:36Z,melindaap,2025-07-11T15:29:52Z,2025-07-10T19:09:22Z,vscode/1.100.3/
2025-10-24T15:15:36Z,oscarwxy,2025-10-15T04:11:38Z,2025-10-01T19:27:31Z,vscode/1.100.3/copilot-chat/0.27.3
2025-10-24T15:15:36Z,hbarreiro,2025-10-24T13:26:42Z,2025-10-24T13:27:59Z,copilot_pr_review
2025-10-24T15:15:36Z,su-nbcuni,2025-10-22T14:33:31Z,2025-10-17T14:20:03Z,copilot_pr_review
2025-10-24T15:15:36Z,ks-nbcuni,2025-10-22T18:54:15Z,2025-10-22T18:54:26Z,Xcode/16.4/
2025-10-24T15:15:36Z,Vdheeraj550,2025-10-23T23:39:22Z,2025-10-23T23:49:23Z,JetBrains-AI/251.27812.49.2514.14217341/
2025-10-24T15:15:36Z,srajeevan89,2025-10-24T14:48:45Z,2025-10-21T07:32:11Z,vscode/1.102.3/copilot-chat/0.29.1
2025-10-24T15:15:36Z,jetworld12,2025-10-22T17:51:05Z,2025-09-22T18:35:02Z,vscode/1.103.2/copilot-chat/0.30.3
