Login,Status,Team,Last Usage Date,Last Editor Used
hatless,Active,devops,2025-10-06,unknown/GitHubCopilotChat/0.29.1
reubenavery,Active,devops,2025-10-06,copilot_pr_review
juampynr,Active,github-co-pilot-group,2025-09-22,JetBrains-IU/243.22562.218/copilot-intellij/1.5.40-243
ksarantakos,Active,github-co-pilot-group,No activity,No activity
samvtran,Active,Firecracker Reviewers,2025-10-01,JetBrains-CL/251.26927.39/
opiuman,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.30.0
vokinneberg,Pending cancellation 2025-10-31,No team,2025-09-18,JetBrains-GO/251.26927.50/
ianrose,Active,github-co-pilot-group,2025-10-06,vscode/1.102.3/copilot-chat/0.29.1
nicotroia,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.30.1
wawjr3d,Active,github-co-pilot-group,2025-10-06,vscode/1.101.2/copilot-chat/0.28.5
andybp85,Active,github-co-pilot-group,2025-09-15,JetBrains-WS/251.26094.131/
AbhilashK,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/221.5080.210/copilot-intellij/1.4.6.4092
rthiyagu,Active,github-co-pilot-group,2025-09-29,vscode/1.101.0/copilot-chat/0.28.5
kailash2812,Active,github-co-pilot-group,2025-10-03,JetBrains-AI/251.25410.109.2511.13665796/
StirlingBaker,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.0
BetweenTwoBits,Active,github-co-pilot-group,2025-09-05,Xcode/16.4/
victhevenot,Active,github-co-pilot-group,No activity,No activity
eflamoe,Active,devops,No activity,No activity
fdansv,Active,Firecracker Reviewers,No activity,No activity
tadvi,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/252.25557.131/
gregdevs,Active,Firecracker Reviewers,2025-10-06,unknown/GitHubCopilotChat/0.30.3
rafistrauss,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.1
samswartz13,Active,Firecracker Reviewers,No activity,No activity
kjmcafee,Active,github-co-pilot-group,2025-09-22,JetBrains-IU/251.25410.129/
pyrrho314,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.1
chazcheadle,Active,devops,2025-10-06,vscode/1.99.3/
